Lat,Lon,Time,Line,Brigade
52.2250383,20.9307333,2024-02-23 23:33:18,197,7
52.245306,21.022998,2024-02-23 23:33:05,106,1
52.269475,20.98568,2024-02-23 23:33:11,122,3
52.264828,21.045318,2024-02-23 21:07:25,170,4
52.156363,21.043713,2024-02-23 23:33:14,N37,343
52.264605,21.045098,2024-02-23 19:59:45,169,3
52.26444,21.045273,2024-02-23 23:24:19,173,6
52.3280698,21.1093098,2024-02-23 23:33:15,240,2
52.2639025,21.0481126,2024-02-23 21:06:15,204,07
52.2645851,21.0447446,2024-02-23 18:48:48,338,05
52.2658835,21.042306,2024-02-23 23:09:55,107,5
52.2647951,21.047048,2024-02-23 20:27:13,166,09
52.264247,21.0456931,2024-02-23 20:25:09,178,013
52.2662868,21.0431891,2024-02-23 23:10:40,197,6
52.266226,21.04296,2024-02-23 23:26:46,221,1
52.2663801,21.042223,2024-02-23 23:07:56,126,3
52.2756341,20.9711671,2024-02-23 23:33:21,156,1
52.2645445,21.0456835,2024-02-23 17:37:18,303,2
52.2662716,21.043313,2024-02-23 22:55:17,126,4
52.2646056,21.0465813,2024-02-23 20:09:09,122,013
52.2662276,21.0432718,2024-02-23 23:00:13,126,2
52.2644208,21.0466771,2024-02-23 23:33:22,169,3
52.2641701,21.0475568,2024-02-23 23:33:18,240,1
52.2662033,21.0431431,2024-02-23 23:16:27,169,1
52.291938,21.0515936,2024-02-23 23:33:23,169,5
52.2636968,21.0469255,2024-02-23 23:33:21,240,1
52.2632315,21.0480663,2024-02-23 23:33:23,118,2
52.23239,21.2511625,2024-02-23 23:33:25,173,3
52.2648836,21.0460873,2024-02-23 23:32:28,123,2
52.233053,21.117211,2024-02-23 21:30:17,730,52
52.2330788,21.117093,2024-02-23 18:02:36,225,04
52.2857543,20.978532,2024-02-23 23:33:21,122,6
52.2022478,21.1712218,2024-02-23 23:33:25,115,6
52.2171395,21.2183723,2024-02-23 23:33:25,173,4
52.2332965,21.1176461,2024-02-23 22:19:07,173,011
52.2651288,21.044425,2024-02-23 22:57:37,166,7
52.2470285,21.1878908,2024-02-23 23:33:20,115,2
52.2653348,21.0440516,2024-02-23 20:36:11,156,06
52.1639093,21.2195905,2024-02-23 23:33:21,115,1
52.2343368,21.115966,2024-02-23 00:06:14,225,04
52.2331028,21.1169638,2024-02-23 23:33:16,117,1
52.2221305,21.102584,2024-02-23 23:33:22,117,5
52.264688,21.0420573,2024-02-23 23:33:08,181,3
52.239605,21.1152155,2024-02-23 23:33:23,N21,2
52.2332793,21.1164235,2024-02-23 23:30:25,117,4
52.233167,21.1165165,2024-02-23 23:08:22,173,9
52.233044,21.1173723,2024-02-23 23:33:23,N95,192
52.2347448,21.1144133,2024-02-23 18:38:25,722,61
52.233026,21.116963,2024-02-23 21:22:35,183,3
52.186161,20.99555,2024-02-23 21:26:05,139,066
52.186028,20.997469,2024-02-22 12:33:33,E-1,04
52.185769,20.995626,2024-02-23 22:42:11,739,07
52.1863837,20.9970692,2024-02-23 13:47:20,900,1
52.186096,20.99548,2024-02-23 22:36:50,222,2
52.185848,20.995184,2024-02-23 21:46:14,222,1
52.1866677,20.9970875,2024-02-23 23:33:25,222,5
52.2108957,21.0067051,2024-02-23 23:33:25,106,6
52.186113,20.994749,2024-02-23 23:33:05,106,3
52.18659,20.995143,2024-02-23 19:39:21,319,01
52.237965,20.996128,2024-02-23 23:33:25,222,4
52.186756,20.995468,2024-02-23 23:33:10,251,65
52.186558,20.9951867,2024-02-23 23:31:10,139,63
52.186636,20.995288,2024-02-23 22:41:38,331,03
52.186799,20.9953,2024-02-23 23:26:23,739,07
52.201775,21.023294,2024-02-23 23:33:25,222,3
52.186573,20.995264,2024-02-23 20:03:29,119,07
52.186783,20.99511,2024-02-23 23:33:23,222,6
52.1864179,20.9972464,2024-02-23 22:07:22,222,4
52.186669,20.995319,2024-02-23 22:22:32,119,06
52.1863764,20.9953415,2024-02-23 23:33:24,166,010
52.18594,20.996796,2024-02-23 00:04:15,319,06
52.186186,20.995363,2024-02-23 19:58:06,331,04
52.186498,20.995165,2024-02-23 22:24:11,119,07
52.1863439,20.9953506,2024-02-23 13:17:30,319,06
52.186358,20.995251,2024-02-23 23:18:56,331,01
52.186486,20.995239,2024-02-23 22:31:39,331,02
52.185802,21.064713,2024-02-23 23:33:24,189,5
52.239262,20.896799,2024-02-23 23:33:24,189,14
52.1875247,20.9963895,2024-02-23 19:01:42,709,013
52.2311085,20.8967104,2024-02-23 23:33:25,189,12
52.205769,20.99901,2024-02-23 23:33:25,148,9
52.1873186,20.9973844,2024-02-23 21:51:22,709,1
52.186358,20.9969315,2024-02-23 21:30:18,319,03
52.1243301,21.1012454,2024-02-23 23:33:24,519,4
52.1877104,20.9963804,2024-02-23 23:16:55,504,012
52.188881,20.990992,2024-02-23 23:33:25,143,011
52.1874381,20.9950614,2024-02-23 22:59:00,141,5
52.1881509,20.9963746,2024-02-23 23:33:26,N33,172
52.1878174,20.9982637,2024-02-23 21:28:35,401,8
52.179656,21.020578,2024-02-23 23:33:12,165,260
52.1860816,20.9979542,2024-02-23 13:13:59,710,09
52.1864136,20.9964231,2024-02-23 21:46:33,727,04
52.187804,20.996513,2024-02-23 21:47:36,331,05
52.2588473,21.1285913,2024-02-23 23:33:23,L50,2
52.1874924,20.998025,2024-02-23 21:58:19,710,761
52.1876449,20.9963439,2024-02-23 19:57:42,709,014
52.1969207,20.9237865,2024-02-23 23:33:24,189,9
52.1870827,20.9954071,2024-02-23 21:30:05,525,1
52.1875689,20.9970152,2024-02-23 18:31:36,504,010
52.1878214,20.9981702,2024-02-23 20:49:42,189,021
52.1863874,20.9975244,2024-02-23 23:33:25,401,022
52.187679,20.996689,2024-02-23 22:17:57,189,8
52.1874457,20.9951339,2024-02-23 22:56:14,162,5
52.18808,20.997906,2024-02-23 23:33:24,402,8
52.1295722,21.0681507,2024-02-23 23:33:25,166,262
52.1875829,20.9970342,2024-02-23 07:06:36,217,2
52.1879926,20.9982484,2024-02-23 22:48:04,727,3
52.1877779,20.9964452,2024-02-23 21:47:03,222,5
52.211905,20.95568,2024-02-23 23:33:21,172,3
52.2318471,21.0203437,2024-02-23 23:33:25,503,6
52.188015,20.998211,2024-02-23 22:43:29,709,2
52.1871805,20.9957212,2024-02-23 23:33:25,501,4
52.186382,20.995827,2024-02-23 23:33:26,189,1
52.1859365,20.9979825,2024-02-23 23:33:25,193,06
52.0547067,21.1628092,2024-02-23 23:33:25,742,1
52.173538,21.033224,2024-02-23 23:33:26,N33,173
52.1550391,20.9904801,2024-02-23 23:33:24,165,3
52.187576,20.99667,2024-02-23 22:22:09,401,022
